answerKey,id,A,B,C,D,stem,Grade,subject,category
A,ACTAAP_2010_7_2,Floods occur in the area.,Earthquakes occur in the area.,The soil is unstable in the area.,The soil stays frozen in the area.,Many houses located near beaches look like the house shown in the drawing. {img:images/States2017/AR/AR_7thGr_2010_1.png} What does this type of house indicate about the area?,7,science,Dev
C,ACTAAP_2013_7_5,"At Position Z, kinetic energy is greater than at Position X.","At Position Y, potential energy is greater than at Position W.","At Position X, potential energy is lowest and kinetic energy is greatest.","At Position W, potential energy is lowest and kinetic energy is greatest.","This diagram shows a portion of a roller coaster ride. {img:images/States2017/AR/AR_7thGr_2013_1.png} If energy losses due to friction can be ignored, which of the following statements is correct?",7,science,Dev
D,AMP_2016_8_11,Three trials were used because the students studied three different temperatures.,The students repeated the experiment until the ball reached a height of 48 cm.,The students used the first trial to practice and the last two trials to collect experimental data.,Performing an experiment with multiple trials can increase the accuracy of the students' results.,Students conducted an experiment to test how temperature changes can affect a rubber ball. They repeatedly dropped the rubber ball from the same location and recorded the height of each initial bounce. {img:images/States2017/AK/AK_8thGr_2016_5.png} Which statement best explains why the students conducted three trials?,8,science,Dev
C,CSZ_2008_8_13,1,2,3,4,"The following table shows properties of four different sample materials. One of these materials is cork, a type of wood that floats in water. {img:images/States2017/CA/CA_8thGr_2008_6.png} Given that the density of water is 1 g/mL, which mL of the samples is most likely cork?",8,science,Dev
D,LEAP__8_10374,producer,primary consumers,secondary consumers,decomposers,Use the food web below to answer the question. {img:images/States2017/LA/LA_no_year_8thGr_5.png} Which of these are not represented in the food web?,8,science,Dev
C,MCAS_2000_8_35,Liquid X cannot mix with any other liquid.,Liquid X must be able to mix with some other liquid.,Liquid X cannot mix with these four liquids.,Liquid X can mix with most other liquids.,"Use the information and table below to answer the question. Curtis conducted an experiment to see if some liquids mix with Liquid X. His results are shown in the table. {img:images/States2017/Mass/Mass_8thGr_2000_8.png} Based on this data, which is the best conclusion?",8,science,Dev
D,MCAS_2001_8_16,structure A,structure B,structure C,structure D,Use the diagram below to answer the question. {img:images/States2017/Mass/Mass_8thGr_2001_10.png} Everything that enters this cell passes through which structure?,8,science,Dev
D,MCAS_2001_8_3,a cell,an organ,a tissue,an organ system,Use the diagram below to answer the question. {img:images/States2017/Mass/Mass_8thGr_2001_2.png} All of the internal structures shown in the diagram together make up what level of organization?,8,science,Dev
C,MCAS_2002_8_1,{img:images/States2017/Mass/Mass_8thGr_2002_1.png},{img:images/States2017/Mass/Mass_8thGr_2002_2.png},{img:images/States2017/Mass/Mass_8thGr_2002_3.png},{img:images/States2017/Mass/Mass_8thGr_2002_4.png},Which of the following diagrams represents a solar eclipse?,8,science,Dev
B,MCAS_2003_8_22,{img:images/States2017/Mass/Mass_8thGr_2003_8.png},{img:images/States2017/Mass/Mass_8thGr_2003_9.png},{img:images/States2017/Mass/Mass_8thGr_2003_10.png},{img:images/States2017/Mass/Mass_8thGr_2003_11.png},A carefully measured amount of soil is placed in an oven and heated to burn off the organic material. Which of the following tools is best used to measure the mass of the remaining soil?,8,science,Dev
B,MCAS_2004_8_11,0.5 m/s,2 m/s,10 m/s,20 m/s,The graph below relates distance and time for a moving object. {img:images/States2017/Mass/Mass_8thGr_2004_4.png} What is the speed of the object represented by the graph above?,8,science,Dev
A,MCAS_2004_8_34,{img:images/States2017/Mass/Mass_8thGr_2004_23.png},{img:images/States2017/Mass/Mass_8thGr_2004_24.png},{img:images/States2017/Mass/Mass_8thGr_2004_25.png},{img:images/States2017/Mass/Mass_8thGr_2004_26.png},The following illustration shows a design shape. {img:images/States2017/Mass/Mass_8thGr_2004_22.png} Which of the following is an accurate orthographic projection of the design shown above?,8,science,Dev
B,MCAS_2004_9_11-v1,{img:images/States2017/Mass/Mass_9thGr_technology_2004_8.png},{img:images/States2017/Mass/Mass_9thGr_technology_2004_9.png},{img:images/States2017/Mass/Mass_9thGr_technology_2004_10.png},{img:images/States2017/Mass/Mass_9thGr_technology_2004_11.png},The diagram below shows a circuit. {img:images/States2017/Mass/Mass_9thGr_technology_2004_7.png} Which of the following diagrams shows a voltmeter correctly attached to measure the voltage drop in R2?,9,technology/engineering,Dev
C,MCAS_2004_9_19-v1,3 lbs.,10 lbs.,30 lbs.,60 lbs.,"The diagram below shows a pair of pliers gripping a bolt. {img:images/States2017/Mass/Mass_9thGr_technology_2004_16.png} Pliers multiply the force of a person's grip through the use of leverage. For the pliers shown, A = 10 lbs., a = 3 in., and b = 1 in. What is the gripping force, B, at the jaws of the pliers?",9,technology/engineering,Dev
C,MCAS_2004_9_9,Protons flow from sphere B to sphere A.,Protons flow from sphere A to sphere B.,Electrons flow from sphere B to sphere A.,Electrons flow from sphere A to sphere B.,"The diagram below shows two aluminum spheres. {img:images/States2017/Mass/Mass_9thGr_physics_2004_4.png} Aluminum sphere A contains a small negative charge and is touched by aluminum sphere B, which has a larger negative charge. Which of the following occurs next?",9,physics,Dev
